Age,Education,Gender,Marrital Status,Profession,Income,Wife Salary,Total Income,Age_Bracket,Income_Bracket,Wife_Earning_Flag,Education_Code,Gender_Code,Marital_Code,Profession_Code,Age_Bracket_Code,Income_Bracket_Code,Cluster_Label
27,Post Graduate,Female,Single,Salaried,900000,0,900000,25-34,6-10L,0,1,0,1,1,0,2,2
36,Graduate,Female,Married,Business,200000,0,200000,35-44,<3L,0,0,0,0,0,1,3,1
27,Graduate,Male,Single,Business,2400000,0,2400000,25-34,20L+,0,0,1,1,0,0,1,2
30,Post Graduate,Female,Single,Business,1400000,0,1400000,25-34,10-20L,0,1,0,1,0,0,0,2
30,Post Graduate,Female,Married,Salaried,1300000,800000,2100000,25-34,20L+,1,1,0,0,1,0,1,0
30,Post Graduate,Female,Single,Business,1400000,0,1400000,25-34,10-20L,0,1,0,1,0,0,0,2
27,Post Graduate,Female,Single,Salaried,1100000,0,1100000,25-34,10-20L,0,1,0,1,1,0,0,2
27,Graduate,Female,Single,Business,1200000,0,1200000,25-34,10-20L,0,0,0,1,0,0,0,2
28,Post Graduate,Female,Single,Salaried,1400000,0,1400000,25-34,10-20L,0,1,0,1,1,0,0,2
30,Post Graduate,Female,Single,Salaried,1500000,0,1500000,25-34,10-20L,0,1,0,1,1,0,0,2
29,Graduate,Female,Single,Business,1100000,0,1100000,25-34,10-20L,0,0,0,1,0,0,0,2
31,Post Graduate,Female,Married,Salaried,1800000,800000,2600000,25-34,20L+,1,1,0,0,1,0,1,0
34,Post Graduate,Female,Married,Business,2000000,0,2000000,25-34,10-20L,0,1,0,0,0,0,0,2
37,Post Graduate,Female,Married,Salaried,1700000,800000,2500000,35-44,20L+,1,1,0,0,1,1,1,0
35,Graduate,Female,Married,Salaried,1800000,1100000,2900000,35-44,20L+,1,0,0,0,1,1,1,0
36,Graduate,Female,Married,Business,1600000,0,1600000,35-44,10-20L,0,0,0,0,0,1,0,1
36,Post Graduate,Female,Married,Salaried,1700000,900000,2600000,35-44,20L+,1,1,0,0,1,1,1,0
36,Post Graduate,Female,Married,Salaried,1800000,900000,2700000,35-44,20L+,1,1,0,0,1,1,1,0
32,Graduate,Female,Married,Salaried,1600000,800000,2400000,25-34,20L+,1,0,0,0,1,0,1,0
34,Post Graduate,Female,Married,Salaried,1600000,0,1600000,25-34,10-20L,0,1,0,0,1,0,0,2
34,Graduate,Female,Married,Salaried,2200000,1400000,3600000,25-34,20L+,1,0,0,0,1,0,1,0
36,Graduate,Female,Married,Salaried,2200000,900000,3100000,35-44,20L+,1,0,0,0,1,1,1,0
31,Graduate,Female,Single,Business,2000000,0,2000000,25-34,10-20L,0,0,0,1,0,0,0,2
31,Post Graduate,Female,Married,Salaried,1800000,0,1800000,25-34,10-20L,0,1,0,0,1,0,0,2
37,Graduate,Female,Married,Business,1700000,0,1700000,35-44,10-20L,0,0,0,0,0,1,0,1
37,Post Graduate,Female,Married,Salaried,1900000,1300000,3200000,35-44,20L+,1,1,0,0,1,1,1,0
36,Post Graduate,Female,Married,Salaried,2300000,1300000,3600000,35-44,20L+,1,1,0,0,1,1,1,0
36,Post Graduate,Female,Married,Business,1900000,0,1900000,35-44,10-20L,0,1,0,0,0,1,0,1
36,Graduate,Female,Married,Business,1800000,1100000,2900000,35-44,20L+,1,0,0,0,0,1,1,0
34,Graduate,Female,Married,Salaried,2700000,1400000,4100000,25-34,20L+,1,0,0,0,1,0,1,0
34,Post Graduate,Female,Married,Business,1900000,0,1900000,25-34,10-20L,0,1,0,0,0,0,0,2
37,Graduate,Female,Married,Salaried,2800000,0,2800000,35-44,20L+,0,0,0,0,1,1,1,1
31,Post Graduate,Female,Married,Salaried,1800000,800000,2600000,25-34,20L+,1,1,0,0,1,0,1,0
34,Post Graduate,Female,Married,Business,2000000,0,2000000,25-34,10-20L,0,1,0,0,0,0,0,2
37,Post Graduate,Female,Married,Salaried,1700000,800000,2500000,35-44,20L+,1,1,0,0,1,1,1,0
35,Graduate,Female,Married,Salaried,1800000,1100000,2900000,35-44,20L+,1,0,0,0,1,1,1,0
36,Graduate,Female,Married,Business,1600000,0,1600000,35-44,10-20L,0,0,0,0,0,1,0,1
36,Post Graduate,Female,Married,Salaried,1700000,900000,2600000,35-44,20L+,1,1,0,0,1,1,1,0
36,Post Graduate,Female,Married,Salaried,1800000,900000,2700000,35-44,20L+,1,1,0,0,1,1,1,0
32,Graduate,Female,Married,Salaried,1600000,800000,2400000,25-34,20L+,1,0,0,0,1,0,1,0
34,Post Graduate,Female,Married,Salaried,1600000,0,1600000,25-34,10-20L,0,1,0,0,1,0,0,2
34,Graduate,Female,Married,Salaried,2200000,1400000,3600000,25-34,20L+,1,0,0,0,1,0,1,0
36,Graduate,Female,Married,Salaried,2200000,900000,3100000,35-44,20L+,1,0,0,0,1,1,1,0
31,Graduate,Female,Single,Business,2000000,0,2000000,25-34,10-20L,0,0,0,1,0,0,0,2
31,Post Graduate,Female,Married,Salaried,1800000,0,1800000,25-34,10-20L,0,1,0,0,1,0,0,2
37,Graduate,Female,Married,Business,1700000,0,1700000,35-44,10-20L,0,0,0,0,0,1,0,1
37,Post Graduate,Female,Married,Salaried,1900000,1300000,3200000,35-44,20L+,1,1,0,0,1,1,1,0
36,Post Graduate,Female,Married,Salaried,2300000,1300000,3600000,35-44,20L+,1,1,0,0,1,1,1,0
36,Post Graduate,Female,Married,Business,1900000,0,1900000,35-44,10-20L,0,1,0,0,0,1,0,1
36,Graduate,Female,Married,Business,1800000,1100000,2900000,35-44,20L+,1,0,0,0,0,1,1,0
34,Graduate,Female,Married,Salaried,2700000,1400000,4100000,25-34,20L+,1,0,0,0,1,0,1,0
34,Post Graduate,Female,Married,Business,1900000,0,1900000,25-34,10-20L,0,1,0,0,0,0,0,2
37,Graduate,Female,Married,Salaried,2800000,0,2800000,35-44,20L+,0,0,0,0,1,1,1,1
35,Post Graduate,Female,Married,Salaried,1400000,600000,2000000,35-44,10-20L,1,1,0,0,1,1,0,0
31,Graduate,Female,Married,Salaried,1200000,600000,1800000,25-34,10-20L,1,0,0,0,1,0,0,0
33,Post Graduate,Female,Married,Business,1400000,0,1400000,25-34,10-20L,0,1,0,0,0,0,0,2
34,Graduate,Female,Married,Salaried,1200000,700000,1900000,25-34,10-20L,1,0,0,0,1,0,0,0
35,Post Graduate,Female,Married,Salaried,1300000,700000,2000000,35-44,10-20L,1,1,0,0,1,1,0,0
35,Graduate,Female,Married,Salaried,1400000,0,1400000,35-44,10-20L,0,0,0,0,1,1,0,1
35,Graduate,Female,Married,Business,1100000,800000,1900000,35-44,10-20L,1,0,0,0,0,1,0,0
36,Graduate,Female,Married,Business,1400000,1000000,2400000,35-44,20L+,1,0,0,0,0,1,1,0
35,Graduate,Female,Married,Salaried,1400000,600000,2000000,35-44,10-20L,1,0,0,0,1,1,0,0
35,Post Graduate,Female,Married,Salaried,1300000,0,1300000,35-44,10-20L,0,1,0,0,1,1,0,1
31,Graduate,Female,Married,Salaried,1400000,800000,2200000,25-34,20L+,1,0,0,0,1,0,1,0
31,Post Graduate,Female,Married,Business,1100000,600000,1700000,25-34,10-20L,1,1,0,0,0,0,0,0
32,Post Graduate,Female,Married,Business,1400000,0,1400000,25-34,10-20L,0,1,0,0,0,0,0,2
34,Post Graduate,Female,Married,Salaried,1400000,900000,2300000,25-34,20L+,1,1,0,0,1,0,1,0
36,Graduate,Female,Married,Business,1500000,1100000,2600000,35-44,20L+,1,0,0,0,0,1,1,0
36,Post Graduate,Female,Married,Salaried,1100000,500000,1600000,35-44,10-20L,1,1,0,0,1,1,0,0
31,Graduate,Female,Married,Salaried,1400000,700000,2100000,25-34,20L+,1,0,0,0,1,0,1,0
37,Post Graduate,Female,Married,Business,1400000,1300000,2700000,35-44,20L+,1,1,0,0,0,1,1,0
37,Graduate,Female,Married,Salaried,1300000,0,1300000,35-44,10-20L,0,0,0,0,1,1,0,1
35,Post Graduate,Female,Married,Salaried,1400000,1100000,2500000,35-44,20L+,1,1,0,0,1,1,1,0
36,Graduate,Female,Married,Business,1300000,700000,2000000,35-44,10-20L,1,0,0,0,0,1,0,0
33,Post Graduate,Female,Married,Salaried,1400000,800000,2200000,25-34,20L+,1,1,0,0,1,0,1,0
35,Graduate,Female,Married,Salaried,1400000,0,1400000,35-44,10-20L,0,0,0,0,1,1,0,1
27,Post Graduate,Male,Single,Salaried,800000,0,800000,25-34,6-10L,0,1,1,1,1,0,2,2
28,Graduate,Male,Married,Salaried,900000,0,900000,25-34,6-10L,0,0,1,0,1,0,2,2
29,Post Graduate,Male,Married,Salaried,900000,800000,1700000,25-34,10-20L,1,1,1,0,1,0,0,0
26,Post Graduate,Male,Single,Salaried,800000,0,800000,25-34,6-10L,0,1,1,1,1,0,2,2
27,Graduate,Male,Single,Salaried,800000,0,800000,25-34,6-10L,0,0,1,1,1,0,2,2
29,Post Graduate,Male,Single,Salaried,900000,0,900000,25-34,6-10L,0,1,1,1,1,0,2,2
30,Graduate,Male,Married,Salaried,800000,500000,1300000,25-34,10-20L,1,0,1,0,1,0,0,0
29,Post Graduate,Male,Married,Business,900000,700000,1600000,25-34,10-20L,1,1,1,0,0,0,0,0
28,Graduate,Male,Single,Salaried,900000,0,900000,25-34,6-10L,0,0,1,1,1,0,2,2
27,Post Graduate,Male,Single,Salaried,900000,0,900000,25-34,6-10L,0,1,1,1,1,0,2,2
41,Post Graduate,Female,Married,Business,1600000,600000,2200000,35-44,20L+,1,1,0,0,0,1,1,0
41,Post Graduate,Female,Married,Salaried,1900000,1100000,3000000,35-44,20L+,1,1,0,0,1,1,1,0
42,Graduate,Female,Married,Salaried,2100000,0,2100000,35-44,20L+,0,0,0,0,1,1,1,1
42,Post Graduate,Female,Married,Salaried,2400000,1300000,3700000,35-44,20L+,1,1,0,0,1,1,1,0
44,Post Graduate,Female,Married,Salaried,2700000,0,2700000,35-44,20L+,0,1,0,0,1,1,1,1
44,Post Graduate,Female,Married,Business,2000000,1800000,3800000,35-44,20L+,1,1,0,0,0,1,1,0
41,Graduate,Female,Married,Salaried,2900000,1800000,4700000,35-44,20L+,1,0,0,0,1,1,1,0
41,Graduate,Female,Married,Salaried,2600000,0,2600000,35-44,20L+,0,0,0,0,1,1,1,1
39,Post Graduate,Female,Married,Business,1600000,0,1600000,35-44,10-20L,0,1,0,0,0,1,0,1
39,Graduate,Female,Married,Business,2200000,1400000,3600000,35-44,20L+,1,0,0,0,0,1,1,0
39,Post Graduate,Female,Married,Salaried,1900000,0,1900000,35-44,10-20L,0,1,0,0,1,1,0,1
39,Post Graduate,Female,Married,Salaried,2700000,1300000,4000000,35-44,20L+,1,1,0,0,1,1,1,0
43,Post Graduate,Female,Married,Salaried,2400000,0,2400000,35-44,20L+,0,1,0,0,1,1,1,1
42,Post Graduate,Female,Married,Salaried,2900000,0,2900000,35-44,20L+,0,1,0,0,1,1,1,1
42,Graduate,Female,Married,Salaried,2700000,0,2700000,35-44,20L+,0,0,0,0,1,1,1,1
42,Post Graduate,Female,Married,Business,1800000,0,1800000,35-44,10-20L,0,1,0,0,0,1,0,1
41,Graduate,Female,Married,Business,1100000,0,1100000,35-44,10-20L,0,0,0,0,0,1,0,1
41,Graduate,Female,Married,Salaried,1400000,700000,2100000,35-44,20L+,1,0,0,0,1,1,1,0
43,Graduate,Female,Married,Business,1300000,900000,2200000,35-44,20L+,1,0,0,0,0,1,1,0
35,Post Graduate,Female,Married,Salaried,1400000,600000,2000000,35-44,10-20L,1,1,0,0,1,1,0,0
31,Graduate,Female,Married,Salaried,1200000,600000,1800000,25-34,10-20L,1,0,0,0,1,0,0,0
33,Post Graduate,Female,Married,Business,1400000,0,1400000,25-34,10-20L,0,1,0,0,0,0,0,2
34,Graduate,Female,Married,Salaried,1200000,700000,1900000,25-34,10-20L,1,0,0,0,1,0,0,0
35,Post Graduate,Female,Married,Salaried,1300000,700000,2000000,35-44,10-20L,1,1,0,0,1,1,0,0
35,Graduate,Female,Married,Salaried,1400000,0,1400000,35-44,10-20L,0,0,0,0,1,1,0,1
35,Graduate,Female,Married,Business,1100000,800000,1900000,35-44,10-20L,1,0,0,0,0,1,0,0
36,Graduate,Female,Married,Business,1400000,1000000,2400000,35-44,20L+,1,0,0,0,0,1,1,0
35,Graduate,Female,Married,Salaried,1400000,600000,2000000,35-44,10-20L,1,0,0,0,1,1,0,0
35,Post Graduate,Female,Married,Salaried,1300000,0,1300000,35-44,10-20L,0,1,0,0,1,1,0,1
31,Graduate,Female,Married,Salaried,1400000,800000,2200000,25-34,20L+,1,0,0,0,1,0,1,0
31,Post Graduate,Female,Married,Business,1100000,600000,1700000,25-34,10-20L,1,1,0,0,0,0,0,0
32,Post Graduate,Female,Married,Business,1400000,0,1400000,25-34,10-20L,0,1,0,0,0,0,0,2
34,Post Graduate,Female,Married,Salaried,1400000,900000,2300000,25-34,20L+,1,1,0,0,1,0,1,0
36,Graduate,Female,Married,Business,1500000,1100000,2600000,35-44,20L+,1,0,0,0,0,1,1,0
36,Post Graduate,Female,Married,Salaried,1100000,500000,1600000,35-44,10-20L,1,1,0,0,1,1,0,0
31,Graduate,Female,Married,Salaried,1400000,700000,2100000,25-34,20L+,1,0,0,0,1,0,1,0
37,Post Graduate,Female,Married,Business,1400000,1300000,2700000,35-44,20L+,1,1,0,0,0,1,1,0
37,Graduate,Female,Married,Salaried,1300000,0,1300000,35-44,10-20L,0,0,0,0,1,1,0,1
35,Post Graduate,Female,Married,Salaried,1400000,1100000,2500000,35-44,20L+,1,1,0,0,1,1,1,0
36,Graduate,Female,Married,Business,1300000,700000,2000000,35-44,10-20L,1,0,0,0,0,1,0,0
33,Post Graduate,Female,Married,Salaried,1400000,800000,2200000,25-34,20L+,1,1,0,0,1,0,1,0
35,Graduate,Female,Married,Salaried,1400000,0,1400000,35-44,10-20L,0,0,0,0,1,1,0,1
27,Post Graduate,Male,Single,Salaried,800000,0,800000,25-34,6-10L,0,1,1,1,1,0,2,2
28,Graduate,Male,Married,Salaried,900000,0,900000,25-34,6-10L,0,0,1,0,1,0,2,2
29,Post Graduate,Male,Married,Salaried,900000,800000,1700000,25-34,10-20L,1,1,1,0,1,0,0,0
26,Post Graduate,Male,Single,Salaried,800000,0,800000,25-34,6-10L,0,1,1,1,1,0,2,2
27,Graduate,Male,Single,Salaried,800000,0,800000,25-34,6-10L,0,0,1,1,1,0,2,2
29,Post Graduate,Male,Single,Salaried,900000,0,900000,25-34,6-10L,0,1,1,1,1,0,2,2
30,Graduate,Male,Married,Salaried,800000,500000,1300000,25-34,10-20L,1,0,1,0,1,0,0,0
29,Post Graduate,Male,Married,Business,900000,700000,1600000,25-34,10-20L,1,1,1,0,0,0,0,0
28,Graduate,Male,Single,Salaried,900000,0,900000,25-34,6-10L,0,0,1,1,1,0,2,2
27,Post Graduate,Male,Single,Salaried,900000,0,900000,25-34,6-10L,0,1,1,1,1,0,2,2
30,Post Graduate,Female,Single,Business,1400000,0,1400000,25-34,10-20L,0,1,0,1,0,0,0,2
30,Post Graduate,Female,Married,Salaried,1300000,800000,2100000,25-34,20L+,1,1,0,0,1,0,1,0
30,Post Graduate,Female,Single,Business,1400000,0,1400000,25-34,10-20L,0,1,0,1,0,0,0,2
27,Post Graduate,Female,Single,Salaried,1100000,0,1100000,25-34,10-20L,0,1,0,1,1,0,0,2
27,Graduate,Female,Single,Business,1200000,0,1200000,25-34,10-20L,0,0,0,1,0,0,0,2
28,Post Graduate,Female,Single,Salaried,1400000,0,1400000,25-34,10-20L,0,1,0,1,1,0,0,2
30,Post Graduate,Female,Single,Salaried,1500000,0,1500000,25-34,10-20L,0,1,0,1,1,0,0,2
29,Graduate,Female,Single,Business,1100000,0,1100000,25-34,10-20L,0,0,0,1,0,0,0,2
27,Post Graduate,Male,Single,Salaried,800000,0,800000,25-34,6-10L,0,1,1,1,1,0,2,2
28,Graduate,Male,Married,Salaried,900000,0,900000,25-34,6-10L,0,0,1,0,1,0,2,2
29,Post Graduate,Male,Married,Salaried,900000,800000,1700000,25-34,10-20L,1,1,1,0,1,0,0,0
26,Post Graduate,Male,Single,Salaried,800000,0,800000,25-34,6-10L,0,1,1,1,1,0,2,2
27,Graduate,Male,Single,Salaried,800000,0,800000,25-34,6-10L,0,0,1,1,1,0,2,2
29,Post Graduate,Male,Single,Salaried,900000,0,900000,25-34,6-10L,0,1,1,1,1,0,2,2
30,Graduate,Male,Married,Salaried,800000,500000,1300000,25-34,10-20L,1,0,1,0,1,0,0,0
29,Post Graduate,Male,Married,Business,900000,700000,1600000,25-34,10-20L,1,1,1,0,0,0,0,0
28,Graduate,Male,Single,Salaried,900000,0,900000,25-34,6-10L,0,0,1,1,1,0,2,2
27,Post Graduate,Male,Single,Salaried,900000,0,900000,25-34,6-10L,0,1,1,1,1,0,2,2
35,Post Graduate,Female,Married,Salaried,1400000,600000,2000000,35-44,10-20L,1,1,0,0,1,1,0,0
31,Graduate,Female,Married,Salaried,1200000,600000,1800000,25-34,10-20L,1,0,0,0,1,0,0,0
33,Post Graduate,Female,Married,Business,1400000,0,1400000,25-34,10-20L,0,1,0,0,0,0,0,2
34,Graduate,Female,Married,Salaried,1200000,700000,1900000,25-34,10-20L,1,0,0,0,1,0,0,0
35,Post Graduate,Female,Married,Salaried,1300000,700000,2000000,35-44,10-20L,1,1,0,0,1,1,0,0
35,Graduate,Female,Married,Salaried,1400000,0,1400000,35-44,10-20L,0,0,0,0,1,1,0,1
35,Graduate,Female,Married,Business,1100000,800000,1900000,35-44,10-20L,1,0,0,0,0,1,0,0
36,Graduate,Female,Married,Business,1400000,1000000,2400000,35-44,20L+,1,0,0,0,0,1,1,0
35,Graduate,Female,Married,Salaried,1400000,600000,2000000,35-44,10-20L,1,0,0,0,1,1,0,0
35,Post Graduate,Female,Married,Salaried,1300000,0,1300000,35-44,10-20L,0,1,0,0,1,1,0,1
31,Graduate,Female,Married,Salaried,1400000,800000,2200000,25-34,20L+,1,0,0,0,1,0,1,0
31,Post Graduate,Female,Married,Business,1100000,600000,1700000,25-34,10-20L,1,1,0,0,0,0,0,0
32,Post Graduate,Female,Married,Business,1400000,0,1400000,25-34,10-20L,0,1,0,0,0,0,0,2
34,Post Graduate,Female,Married,Salaried,1400000,900000,2300000,25-34,20L+,1,1,0,0,1,0,1,0
36,Graduate,Female,Married,Business,1500000,1100000,2600000,35-44,20L+,1,0,0,0,0,1,1,0
36,Post Graduate,Female,Married,Salaried,1100000,500000,1600000,35-44,10-20L,1,1,0,0,1,1,0,0
31,Graduate,Female,Married,Salaried,1400000,700000,2100000,25-34,20L+,1,0,0,0,1,0,1,0
37,Post Graduate,Female,Married,Business,1400000,1300000,2700000,35-44,20L+,1,1,0,0,0,1,1,0
37,Graduate,Female,Married,Salaried,1300000,0,1300000,35-44,10-20L,0,0,0,0,1,1,0,1
35,Post Graduate,Female,Married,Salaried,1400000,1100000,2500000,35-44,20L+,1,1,0,0,1,1,1,0
36,Graduate,Female,Married,Business,1300000,700000,2000000,35-44,10-20L,1,0,0,0,0,1,0,0
33,Post Graduate,Female,Married,Salaried,1400000,800000,2200000,25-34,20L+,1,1,0,0,1,0,1,0
35,Graduate,Female,Married,Salaried,1400000,0,1400000,35-44,10-20L,0,0,0,0,1,1,0,1
41,Post Graduate,Male,Married,Business,1600000,600000,2200000,35-44,20L+,1,1,1,0,0,1,1,0
41,Post Graduate,Male,Married,Salaried,1900000,1100000,3000000,35-44,20L+,1,1,1,0,1,1,1,0
42,Graduate,Male,Married,Salaried,2100000,0,2100000,35-44,20L+,0,0,1,0,1,1,1,1
42,Post Graduate,Male,Married,Salaried,2400000,1300000,3700000,35-44,20L+,1,1,1,0,1,1,1,0
44,Post Graduate,Male,Married,Salaried,2700000,0,2700000,35-44,20L+,0,1,1,0,1,1,1,1
44,Post Graduate,Male,Married,Business,2000000,1800000,3800000,35-44,20L+,1,1,1,0,0,1,1,0
41,Graduate,Male,Married,Salaried,2900000,1800000,4700000,35-44,20L+,1,0,1,0,1,1,1,0
41,Graduate,Male,Married,Salaried,2600000,0,2600000,35-44,20L+,0,0,1,0,1,1,1,1
39,Post Graduate,Male,Married,Business,1600000,0,1600000,35-44,10-20L,0,1,1,0,0,1,0,1
39,Graduate,Male,Married,Business,2200000,1400000,3600000,35-44,20L+,1,0,1,0,0,1,1,0
39,Post Graduate,Male,Married,Salaried,1900000,0,1900000,35-44,10-20L,0,1,1,0,1,1,0,1
39,Post Graduate,Male,Married,Salaried,2700000,1300000,4000000,35-44,20L+,1,1,1,0,1,1,1,0
43,Post Graduate,Male,Married,Salaried,2400000,0,2400000,35-44,20L+,0,1,1,0,1,1,1,1
42,Post Graduate,Male,Married,Salaried,2900000,0,2900000,35-44,20L+,0,1,1,0,1,1,1,1
42,Graduate,Male,Married,Salaried,2700000,0,2700000,35-44,20L+,0,0,1,0,1,1,1,1
42,Post Graduate,Male,Married,Business,1800000,0,1800000,35-44,10-20L,0,1,1,0,0,1,0,1
27,Post Graduate,Female,Single,Salaried,800000,0,800000,25-34,6-10L,0,1,0,1,1,0,2,2
28,Graduate,Female,Married,Salaried,900000,0,900000,25-34,6-10L,0,0,0,0,1,0,2,2
29,Post Graduate,Female,Married,Salaried,900000,800000,1700000,25-34,10-20L,1,1,0,0,1,0,0,0
26,Post Graduate,Female,Single,Salaried,800000,0,800000,25-34,6-10L,0,1,0,1,1,0,2,2
27,Graduate,Female,Single,Salaried,800000,0,800000,25-34,6-10L,0,0,0,1,1,0,2,2
29,Post Graduate,Female,Single,Salaried,900000,0,900000,25-34,6-10L,0,1,0,1,1,0,2,2
30,Graduate,Female,Married,Salaried,800000,500000,1300000,25-34,10-20L,1,0,0,0,1,0,0,0
29,Post Graduate,Female,Married,Business,900000,700000,1600000,25-34,10-20L,1,1,0,0,0,0,0,0
28,Graduate,Female,Single,Salaried,900000,0,900000,25-34,6-10L,0,0,0,1,1,0,2,2
27,Post Graduate,Female,Single,Salaried,900000,0,900000,25-34,6-10L,0,1,0,1,1,0,2,2
27,Graduate,Female,Single,Business,2400000,0,2400000,25-34,20L+,0,0,0,1,0,0,1,2
36,Graduate,Female,Married,Business,200000,0,200000,35-44,<3L,0,0,0,0,0,1,3,1
31,Graduate,Female,Married,Business,900000,400000,1300000,25-34,10-20L,1,0,0,0,0,0,0,0
35,Post Graduate,Female,Married,Business,900000,500000,1400000,35-44,10-20L,1,1,0,0,0,1,0,0
31,Post Graduate,Male,Married,Salaried,1800000,800000,2600000,25-34,20L+,1,1,1,0,1,0,1,0
34,Post Graduate,Male,Married,Business,2000000,0,2000000,25-34,10-20L,0,1,1,0,0,0,0,2
37,Post Graduate,Male,Married,Salaried,1700000,800000,2500000,35-44,20L+,1,1,1,0,1,1,1,0
35,Graduate,Male,Married,Salaried,1800000,1100000,2900000,35-44,20L+,1,0,1,0,1,1,1,0
36,Graduate,Male,Married,Business,1600000,0,1600000,35-44,10-20L,0,0,1,0,0,1,0,1
36,Post Graduate,Male,Married,Salaried,1700000,900000,2600000,35-44,20L+,1,1,1,0,1,1,1,0
36,Post Graduate,Male,Married,Salaried,1800000,900000,2700000,35-44,20L+,1,1,1,0,1,1,1,0
32,Graduate,Male,Married,Salaried,1600000,800000,2400000,25-34,20L+,1,0,1,0,1,0,1,0
34,Post Graduate,Male,Married,Salaried,1600000,0,1600000,25-34,10-20L,0,1,1,0,1,0,0,2
34,Graduate,Male,Married,Salaried,2200000,1400000,3600000,25-34,20L+,1,0,1,0,1,0,1,0
36,Graduate,Male,Married,Salaried,2200000,900000,3100000,35-44,20L+,1,0,1,0,1,1,1,0
31,Graduate,Male,Single,Business,2000000,0,2000000,25-34,10-20L,0,0,1,1,0,0,0,2
31,Post Graduate,Male,Married,Salaried,1800000,0,1800000,25-34,10-20L,0,1,1,0,1,0,0,2
37,Graduate,Male,Married,Business,1700000,0,1700000,35-44,10-20L,0,0,1,0,0,1,0,1
37,Post Graduate,Male,Married,Salaried,1900000,1300000,3200000,35-44,20L+,1,1,1,0,1,1,1,0
36,Post Graduate,Male,Married,Salaried,2300000,1300000,3600000,35-44,20L+,1,1,1,0,1,1,1,0
36,Post Graduate,Male,Married,Business,1900000,0,1900000,35-44,10-20L,0,1,1,0,0,1,0,1
36,Graduate,Male,Married,Business,1800000,1100000,2900000,35-44,20L+,1,0,1,0,0,1,1,0
34,Graduate,Male,Married,Salaried,2700000,1400000,4100000,25-34,20L+,1,0,1,0,1,0,1,0
34,Post Graduate,Male,Married,Business,1900000,0,1900000,25-34,10-20L,0,1,1,0,0,0,0,2
37,Graduate,Male,Married,Salaried,2800000,0,2800000,35-44,20L+,0,0,1,0,1,1,1,1
35,Post Graduate,Female,Married,Salaried,1400000,600000,2000000,35-44,10-20L,1,1,0,0,1,1,0,0
31,Graduate,Female,Married,Salaried,1200000,600000,1800000,25-34,10-20L,1,0,0,0,1,0,0,0
33,Post Graduate,Female,Married,Business,1400000,0,1400000,25-34,10-20L,0,1,0,0,0,0,0,2
34,Graduate,Female,Married,Salaried,1200000,700000,1900000,25-34,10-20L,1,0,0,0,1,0,0,0
35,Post Graduate,Female,Married,Salaried,1300000,700000,2000000,35-44,10-20L,1,1,0,0,1,1,0,0
35,Graduate,Female,Married,Salaried,1400000,0,1400000,35-44,10-20L,0,0,0,0,1,1,0,1
35,Graduate,Female,Married,Business,1100000,800000,1900000,35-44,10-20L,1,0,0,0,0,1,0,0
36,Graduate,Female,Married,Business,1400000,1000000,2400000,35-44,20L+,1,0,0,0,0,1,1,0
35,Graduate,Female,Married,Salaried,1400000,600000,2000000,35-44,10-20L,1,0,0,0,1,1,0,0
35,Post Graduate,Female,Married,Salaried,1300000,0,1300000,35-44,10-20L,0,1,0,0,1,1,0,1
31,Graduate,Female,Married,Salaried,1400000,800000,2200000,25-34,20L+,1,0,0,0,1,0,1,0
31,Post Graduate,Female,Married,Business,1100000,600000,1700000,25-34,10-20L,1,1,0,0,0,0,0,0
32,Post Graduate,Female,Married,Business,1400000,0,1400000,25-34,10-20L,0,1,0,0,0,0,0,2
34,Post Graduate,Female,Married,Salaried,1400000,900000,2300000,25-34,20L+,1,1,0,0,1,0,1,0
36,Graduate,Female,Married,Business,1500000,1100000,2600000,35-44,20L+,1,0,0,0,0,1,1,0
36,Post Graduate,Female,Married,Salaried,1100000,500000,1600000,35-44,10-20L,1,1,0,0,1,1,0,0
31,Graduate,Female,Married,Salaried,1400000,700000,2100000,25-34,20L+,1,0,0,0,1,0,1,0
37,Post Graduate,Female,Married,Business,1400000,1300000,2700000,35-44,20L+,1,1,0,0,0,1,1,0
37,Graduate,Female,Married,Salaried,1300000,0,1300000,35-44,10-20L,0,0,0,0,1,1,0,1
35,Post Graduate,Female,Married,Salaried,1400000,1100000,2500000,35-44,20L+,1,1,0,0,1,1,1,0
36,Graduate,Female,Married,Business,1300000,700000,2000000,35-44,10-20L,1,0,0,0,0,1,0,0
33,Post Graduate,Female,Married,Salaried,1400000,800000,2200000,25-34,20L+,1,1,0,0,1,0,1,0
35,Graduate,Female,Married,Salaried,1400000,0,1400000,35-44,10-20L,0,0,0,0,1,1,0,1
41,Post Graduate,Female,Married,Business,1600000,600000,2200000,35-44,20L+,1,1,0,0,0,1,1,0
41,Post Graduate,Female,Married,Salaried,1900000,1100000,3000000,35-44,20L+,1,1,0,0,1,1,1,0
42,Graduate,Female,Married,Salaried,2100000,0,2100000,35-44,20L+,0,0,0,0,1,1,1,1
